Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG02064,0.6978334070933718,1.7419922622555462,-0.1172347294701344,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02067,0.6999821691019741,1.9581997302473368,0.09225483593007283,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02069,0.7114194047860819,1.522662069555316,0.3140530846058132,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02070,0.6486773329104201,1.7365437601578495,0.40129165100750697,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02072,0.5729324185923581,1.6124768457762548,0.34887102875355186,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02073,0.8325263043488872,1.6207933782699488,-0.32379887741298946,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02075,0.7919671182644024,2.0548029165777035,0.0021471650352081076,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02076,0.7037741949974724,1.4032850286107792,-0.075364504489314,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02078,0.8366239794589082,1.2360328760498591,-0.1736311434463626,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02079,0.8662736991039174,1.9013605608434248,0.258960967243255,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02081,0.6854321056571967,1.5219787424497262,-0.02763131997761681,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02082,0.7092063397486259,1.3381756676090248,-0.27565641018087844,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02084,0.7013200254797765,1.7718478666633215,0.44158588307190616,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02085,0.6068995518217419,1.858191069319737,0.12519906687049498,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02086,0.7729174467964257,1.6473892238636982,0.21961362183546715,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02087,0.8025858582522607,1.8371356729970656,-0.05464386289386456,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02088,0.7798256570099227,1.8309995779295627,0.08955615786197936,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02089,0.8386951084064739,0.10297390874765927,-3.615357807246305,AMR,PEL,"Peruvian in Lima, Peru"
HG02090,0.4687687925467367,-0.4762069132080528,-1.4774401950471332,AMR,PEL,"Peruvian in Lima, Peru"
HG02095,-1.6029525693676034,-0.04209894391555544,-0.03752544604686037,AFR,ACB,African Caribbean in Barbados
HG02102,0.7163170233697673,-0.4913335708092399,-2.0196501527076482,AMR,PEL,"Peruvian in Lima, Peru"
HG02104,0.7563350424013889,0.7272620299687828,-4.563073785375834,AMR,PEL,"Peruvian in Lima, Peru"
HG02105,0.8753106725492539,0.39529154241455616,-3.403897290119545,AMR,PEL,"Peruvian in Lima, Peru"
HG02107,-1.551118442200084,-0.13594954199770426,0.19826325370091416,AFR,ACB,African Caribbean in Barbados
HG02108,-1.6510297579759723,0.16732267091078654,0.2424608392050327,AFR,ACB,African Caribbean in Barbados
HG02111,-1.8159137696315688,0.2597351159167776,-0.13348624304483156,AFR,ACB,African Caribbean in Barbados
HG02113,0.7867481036880798,1.828346842157612,0.23123169764065235,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02116,0.7615365387695493,1.3533105230994364,0.13879972414256078,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02121,0.7316389885123314,1.4298795203527783,0.5788248674249512,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02122,0.7506327784669876,1.2521087459112978,-0.2974115589167051,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02127,0.5827187108938748,1.92620793116225,0.18227682481685725,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02128,0.6758496638772234,1.8391444210903392,0.2120957905062317,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02130,0.7142014184106827,1.5754030107379895,0.4173331522025284,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02131,0.7631574101007965,1.63242969336412,0.2359582481311525,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02133,0.7399189472822275,1.6751424900012486,-0.08126055265539013,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02134,0.7698031216593657,1.5741552525387172,0.2260312721589949,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02136,0.7717249611152428,1.7250217724310917,-0.14583934797856754,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02137,0.7783859717648092,1.6163421645816596,0.9890261498224824,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02138,0.8069712148976196,1.8752618493952529,-0.11847659488360912,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02139,0.7375185624250978,1.3091903528159174,0.137530171622743,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02140,0.6917450818517024,1.7833713915892777,-0.07404225160329647,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02141,0.8146153511552038,1.5497469132486812,0.4220987746144133,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02142,0.7965476942309231,1.7536542121888894,0.10694492497683132,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02143,-1.5429631449887882,-0.033899781674900015,0.07681144286955942,AFR,ACB,African Caribbean in Barbados
HG02144,-1.7467974931221282,0.45000151188738496,-0.2998808215521562,AFR,ACB,African Caribbean in Barbados
HG02146,0.7733924384158989,0.1381083262276793,-2.656375768397243,AMR,PEL,"Peruvian in Lima, Peru"
HG02147,0.7025921270007585,0.3976062117142359,-3.8783967912519097,AMR,PEL,"Peruvian in Lima, Peru"
HG02150,0.8132711703973144,0.19572779477777733,-3.259673990749819,AMR,PEL,"Peruvian in Lima, Peru"
HG02151,0.7455882428004384,1.7159885672334954,-0.3303225105145435,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02152,0.7319424126842689,1.5976881215017824,0.11255735904412284,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02153,0.7518414276400587,1.4320695854940744,0.459378389505995,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02154,0.7376728638741613,1.5484837269345866,0.11205848137054247,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02155,0.8402447926666226,1.6008190166240523,0.31567898269281963,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02156,0.7167022834791773,1.7611178915787835,0.6509721740262233,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02164,0.5865519584691449,1.9635311486337563,-0.09336442629776052,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02165,0.7263152968262593,1.5947072849926145,0.17118509965806625,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02166,0.7960953528149073,1.4649154522944212,-0.5873210258111741,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02178,0.7559705991994549,1.9910723514858681,0.4041912102341941,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02179,0.9071262148668234,1.9988366735678649,-0.9130116768522476,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02180,0.8832840523537746,1.4107963893701787,0.2874409587469729,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02181,0.7682453695972288,1.767749826746709,-0.12984571105259793,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02182,0.7550548781445223,1.3827911840496785,0.15725186496779914,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
